source_collection_id,product_handle,product_id,variant_id,collection_ids
TONES-COL-0055,jet-black-shirt,11040950452417,50484132675777,491790762177|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|491332731073
TONES-COL-0055,ivory-sand-modal-shirt,11012841373889,50382586740929,489879994561|293003460801|485747097793|284518514881|483538763969|491823464641|489910337729|487623786689
TONES-COL-0055,the-alpha-oversized-tee,11051699667137,50525600710849,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0055,the-alpha-oversized-tee-copy,11051705925825,50525615587521,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0055,the-final-act-oversized-tee-copy,11051711365313,50525626335425,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0055,jet-black-satin-shirt-copy,11058090246337,50546882117825,491790434497|293003460801|485747097793|288566313153|284518514881|483538763969
TONES-COL-0055,mustard-gauze-cotton-shirt,11058096734401,50546894307521,491790434497|293003460801|485747097793|288566313153|284518514881|483538763969
TONES-COL-0055,muted-peach-gauze-cotton-shirt,11058096898241,50546894602433,491790434497|293003460801|485747097793|288566313153|284518514881|483538763969
TONES-COL-0055,deep-sage-gauze-cotton-shirt,11058097160385,50586274922689,491790434497|293003460801|485747097793|288566313153|284518514881|483538763969
TONES-COL-0055,deep-sage-gauze-cotton-shirt-copy,11079219511489,50606631518401,293003460801|485747097793|288566313153|284518514881|483538763969|492225069249
TONES-COL-0055,blue-oxford-shirt-copy,11079247167681,50606710227137,293003460801|485747097793|288566313153|284518514881|483538763969|492225069249
TONES-COL-0055,yellow-oxford-shirt,11079248609473,50606712094913,293003460801|485747097793|288566313153|284518514881|483538763969|492225069249
TONES-COL-0055,pink-oxford-shirt,11079248969921,50606712914113,293003460801|485747097793|288566313153|284518514881|483538763969|492225069249
TONES-COL-0056,gods-master-piece-white-copy,10814172692673,49547127521473,490862379201|474547093697|491823464641|489800040641|487623786689|474531004609
TONES-COL-0056,tones-embroidery-cap-brown,10751687983297,49337387385025,474649919681|490862379201|293150261441|491823464641
TONES-COL-0056,maroon-satin-shirt,10763722424513,49378837659841,490862379201|284518514881|483538763969|491823464641
TONES-COL-0056,white-bloom-shirt,10826100211905,49581698482369,483744415937|293003460801|490862379201|284518514881|491823464641|487623786689
TONES-COL-0056,red-drip-sweatshirt,10802333221057,49513367863489,483744415937|482946384065|490862379201|491823464641
TONES-COL-0056,electric-blue-satin-shirt,10763723374785,49378839331009,490862379201|284518514881|483538763969|491823464641
TONES-COL-0056,grey-chions,10818332098753,49561631097025,476140306625|289775419585|490862379201|491823464641
TONES-COL-0056,tones-original-black,10547296174273,48606816534721,479542378689|490862379201|473433669825|473433571521|474547093697|491823464641|474531004609|293299388609|477701308609|475876458689
TONES-COL-0056,dark-brown-chions,10818352152769,49561659179201,476140306625|289775419585|490862379201|491823464641
TONES-COL-0056,blue-checks-flanel,10848594067649,49648515088577,486469140673|293003460801|490862379201|284518514881|483538763969|491823464641
TONES-COL-0056,blue-drip-sweatshirt-copy,10802333286593,49513368715457,483744415937|482946384065|490862379201|491823464641
TONES-COL-0056,brown-double-pocket-shacket,10852506468545,49663564611777,479128486081|486469140673|293003460801|485747097793|490862379201|288566313153|284518514881|483538763969|491823464641
TONES-COL-0056,dark-blue-checks-flanel,10848595542209,49648543170753,486469140673|293003460801|490862379201|284518514881|483538763969|491823464641
TONES-COL-0056,grey-checks-flanel,10848605995201,49648585900225,490862379201|284518514881|483538763969|491823464641
TONES-COL-0056,charcoal-grey-flannel-double-pocket-shirt,10852506239169,49663562481857,479128486081|486469140673|293003460801|490862379201|288566313153|284518514881|483538763969|491823464641
TONES-COL-0056,dobby-burnt-orange-shirt,10820070703297,49565835624641,490862379201|284518514881|483538763969|491823464641
TONES-COL-0056,grey-double-pocket-shacket,10852506435777,49663563104449,479128486081|486469140673|293003460801|485747097793|490862379201|288566313153|284518514881|483538763969|491823464641
TONES-COL-0056,double-pocket-black-shirt,10820022599873,49565735747777,490862379201|284518514881|491823464641
TONES-COL-0056,brown-checks-flanel,10848593543361,49648509157569,490862379201|284518514881|483538763969|491823464641
TONES-COL-0057,grey-chions,10818332098753,49561631097025,476140306625|289775419585|490862379201|491823464641
TONES-COL-0057,dark-brown-chions,10818352152769,49561659179201,476140306625|289775419585|490862379201|491823464641
TONES-COL-0057,olive-green-chions,10818355888321,49561664684225,476140306625|289775419585|491823464641
TONES-COL-0057,grey-cargo,10897638097089,49934133264577,476140306625|473433604289|293003460801|485747097793|289775419585|491823464641
TONES-COL-0057,olive-green-cargos,10897643536577,49934144078017,476140306625|473433604289|293003460801|485747097793|289775419585|491823464641
TONES-COL-0064,tones-embroidery-cap-brown,10751687983297,49337387385025,474649919681|490862379201|293150261441|491823464641
